stt,H,W
1359,113.59,38.07
1360,113.60,38.11
1361,113.61,38.14
1362,113.62,38.18
1363,113.63,38.22
1364,113.64,38.25
1365,113.65,38.29
1366,113.66,38.33
1367,113.67,38.36
1368,113.68,38.40
1369,113.69,38.44
1370,113.70,38.47
1371,113.71,38.51
1372,113.72,38.55
1373,113.73,38.58
1374,113.74,38.62
1375,113.75,38.65
1376,113.76,38.69
1377,113.77,38.73
1378,113.78,38.76
1379,113.79,38.80
1380,113.80,38.84
1381,113.81,38.87
1382,113.82,38.91
1383,113.83,38.95
1384,113.84,38.98
1385,113.85,39.02
1386,113.86,39.06
1387,113.87,39.09
1388,113.88,39.13
1389,113.89,39.17
1390,113.90,39.20
1391,113.91,39.24
1392,113.92,39.27
1393,113.93,39.31
1394,113.94,39.35
1395,113.95,39.38
1396,113.96,39.42
1397,113.97,39.46
1398,113.98,39.49
1399,113.99,39.53
1400,114.00,39.57
1401,114.01,39.60
1402,114.02,39.64
1403,114.03,39.68
1404,114.04,39.71
1405,114.05,39.75
1406,114.06,39.78
1407,114.07,39.82
1408,114.08,39.86
1409,114.09,39.89
1410,114.10,39.93
1411,114.11,39.97
1412,114.12,40.00
1413,114.13,40.04
1414,114.14,40.08
1415,114.15,40.11
1416,114.16,40.15
1417,114.17,40.19
1418,114.18,40.22
1419,114.19,40.26
1420,114.20,40.29
1421,114.21,40.33
1422,114.22,40.37
1423,114.23,40.40
1424,114.24,40.44
1425,114.25,40.48
1426,114.26,40.51
1427,114.27,40.55
1428,114.28,40.59
1429,114.29,40.62
1430,114.30,40.66
1431,114.31,40.70
1432,114.32,40.73
1433,114.33,40.77
1434,114.34,40.80
1435,114.35,40.84
1436,114.36,40.88
1437,114.37,40.91
1438,114.38,40.95
1439,114.39,40.99
1440,114.40,41.02
1441,114.41,41.06
1442,114.42,41.10
1443,114.43,41.13
1444,114.44,41.17
1445,114.45,41.21
1446,114.46,41.24
1447,114.47,41.28
1448,114.48,41.32
1449,114.49,41.35
1450,114.50,41.39
1451,114.51,41.42
1452,114.52,41.46
1453,114.53,41.50
1454,114.54,41.53
1455,114.55,41.57
1456,114.56,41.61
1457,114.57,41.64
1458,114.58,41.68
1459,114.59,41.72
1460,114.60,41.75
1461,114.61,41.79
1462,114.62,41.83
1463,114.63,41.86
1464,114.64,41.90
1465,114.65,41.93
1466,114.66,41.97
1467,114.67,42.01
1468,114.68,42.04
1469,114.69,42.08
1470,114.70,42.12
1471,114.71,42.15
1472,114.72,42.19
1473,114.73,42.23
1474,114.74,42.26
1475,114.75,42.30
1476,114.76,42.34
1477,114.77,42.37
1478,114.78,42.41
1479,114.79,42.44
1480,114.80,42.48
1481,114.81,42.52
1482,114.82,42.55
1483,114.83,42.59
1484,114.84,42.63
1485,114.85,42.66
1486,114.86,42.70
1487,114.87,42.74
1488,114.88,42.77
1489,114.89,42.81
1490,114.90,42.85
1491,114.91,42.88
1492,114.92,42.92
1493,114.93,42.95
1494,114.94,42.99
1495,114.95,43.03
1496,114.96,43.06
1497,114.97,43.10
1498,114.98,43.14
1499,114.99,43.17
1500,115.00,43.21
1501,115.01,43.26
1502,115.02,43.30
1503,115.03,43.35
1504,115.04,43.39
1505,115.05,43.44
1506,115.06,43.48
1507,115.07,43.53
1508,115.08,43.58
1509,115.09,43.62
1510,115.10,43.67
1511,115.11,43.71
1512,115.12,43.76
1513,115.13,43.80
1514,115.14,43.85
1515,115.15,43.90
1516,115.16,43.94
1517,115.17,43.99
1518,115.18,44.03
1519,115.19,44.08
1520,115.20,44.12
1521,115.21,44.17
1522,115.22,44.22
1523,115.23,44.26
1524,115.24,44.31
1525,115.25,44.35
1526,115.26,44.40
1527,115.27,44.44
1528,115.28,44.49
1529,115.29,44.54
1530,115.30,44.58
1531,115.31,44.63
1532,115.32,44.67
1533,115.33,44.72
1534,115.34,44.77
1535,115.35,44.81
1536,115.36,44.86
1537,115.37,44.90
1538,115.38,44.95
1539,115.39,44.99
1540,115.40,45.04
1541,115.41,45.09
1542,115.42,45.13
1543,115.43,45.18
1544,115.44,45.22
1545,115.45,45.27
1546,115.46,45.31
1547,115.47,45.36
1548,115.48,45.41
1549,115.49,45.45
1550,115.50,45.50
1551,115.51,45.54
1552,115.52,45.59
1553,115.53,45.63
1554,115.54,45.68
1555,115.55,45.73
1556,115.56,45.77
1557,115.57,45.82
1558,115.58,45.86
1559,115.59,45.91
1560,115.60,45.95
1561,115.61,46.00
1562,115.62,46.05
1563,115.63,46.09
1564,115.64,46.14
1565,115.65,46.18
1566,115.66,46.23
1567,115.67,46.27
1568,115.68,46.32
1569,115.69,46.37
1570,115.70,46.41
1571,115.71,46.46
1572,115.72,46.50
1573,115.73,46.55
1574,115.74,46.59
1575,115.75,46.64
1576,115.76,46.69
1577,115.77,46.73
1578,115.78,46.78
1579,115.79,46.82
1580,115.80,46.87
1581,115.81,46.91
1582,115.82,46.96
1583,115.83,47.01
1584,115.84,47.05
1585,115.85,47.10
1586,115.86,47.14
1587,115.87,47.19
1588,115.88,47.24
1589,115.89,47.28
1590,115.90,47.33
1591,115.91,47.37
1592,115.92,47.42
1593,115.93,47.46
1594,115.94,47.51
1595,115.95,47.56
1596,115.96,47.60
1597,115.97,47.65
1598,115.98,47.69
1599,115.99,47.74
1600,116.00,47.78
1601,116.01,47.83
1602,116.02,47.88
1603,116.03,47.92
1604,116.04,47.97
1605,116.05,48.01
1606,116.06,48.06
1607,116.07,48.10
1608,116.08,48.15
1609,116.09,48.20
1610,116.10,48.24
1611,116.11,48.29
1612,116.12,48.33
1613,116.13,48.38
1614,116.14,48.42
1615,116.15,48.47
1616,116.16,48.52
1617,116.17,48.56
1618,116.18,48.61
1619,116.19,48.65
1620,116.20,48.70
1621,116.21,48.74
1622,116.22,48.79
1623,116.23,48.84
1624,116.24,48.88
1625,116.25,48.93
1626,116.26,48.97
1627,116.27,49.02
1628,116.28,49.06
1629,116.29,49.11
1630,116.30,49.16
1631,116.31,49.20
1632,116.32,49.25
1633,116.33,49.29
1634,116.34,49.34
1635,116.35,49.38
1636,116.36,49.43
1637,116.37,49.48
1638,116.38,49.52
1639,116.39,49.57
1640,116.40,49.61
1641,116.41,49.66
1642,116.42,49.71
1643,116.43,49.75
1644,116.44,49.80
1645,116.45,49.84
1646,116.46,49.89
1647,116.47,49.93
1648,116.48,49.98
1649,116.49,50.03
1650,116.50,50.07
1651,116.51,50.12
1652,116.52,50.16
1653,116.53,50.21
1654,116.54,50.25
1655,116.55,50.30
1656,116.56,50.35
1657,116.57,50.39
1658,116.58,50.44
1659,116.59,50.48
1660,116.60,50.53
1661,116.61,50.57
1662,116.62,50.62
1663,116.63,50.67
1664,116.64,50.71
1665,116.65,50.76
1666,116.66,50.80
1667,116.67,50.85
1668,116.68,50.89
1669,116.69,50.94
1670,116.70,50.99
1671,116.71,51.03
1672,116.72,51.08
1673,116.73,51.12
1674,116.74,51.17
1675,116.75,51.21
1676,116.76,51.26
1677,116.77,51.31
1678,116.78,51.35
1679,116.79,51.40
1680,116.80,51.44
1681,116.81,51.49
1682,116.82,51.53
1683,116.83,51.58
1684,116.84,51.63
1685,116.85,51.67
1686,116.86,51.72
1687,116.87,51.76
1688,116.88,51.81
1689,116.89,51.85
1690,116.90,51.90
1691,116.91,51.95
1692,116.92,51.99
1693,116.93,52.04
1694,116.94,52.08
1695,116.95,52.13
1696,116.96,52.18
1697,116.97,52.22
1698,116.98,52.27
1699,116.99,52.31
1700,117.00,52.36
1701,117.01,52.40
1702,117.02,52.45
1703,117.03,52.50
1704,117.04,52.54
1705,117.05,52.59
1706,117.06,52.63
1707,117.07,52.68
1708,117.08,52.72
1709,117.09,52.77
1710,117.10,52.82
1711,117.11,52.86
1712,117.12,52.91
1713,117.13,52.95
1714,117.14,53.00
1715,117.15,53.04
1716,117.16,53.09
1717,117.17,53.14
1718,117.18,53.18
1719,117.19,53.23
1720,117.20,53.27
1721,117.21,53.32
1722,117.22,53.36
1723,117.23,53.41
1724,117.24,53.46
1725,117.25,53.50
1726,117.26,53.55
1727,117.27,53.59
1728,117.28,53.64
1729,117.29,53.68
1730,117.30,53.73
1731,117.31,53.78
1732,117.32,53.82
1733,117.33,53.87
1734,117.34,53.91
1735,117.35,53.96
1736,117.36,54.00
1737,117.37,54.05
1738,117.38,54.10
1739,117.39,54.14
1740,117.40,54.19
1741,117.41,54.23
1742,117.42,54.28
1743,117.43,54.32
1744,117.44,54.37
1745,117.45,54.42
1746,117.46,54.46
1747,117.47,54.51
1748,117.48,54.55
1749,117.49,54.60
1750,117.50,54.64
1751,117.51,54.69
1752,117.52,54.74
1753,117.53,54.78
1754,117.54,54.83
1755,117.55,54.87
1756,117.56,54.92
1757,117.57,54.97
1758,117.58,55.01
1759,117.59,55.06
1760,117.60,55.10
1761,117.61,55.15
1762,117.62,55.19
1763,117.63,55.24
1764,117.64,55.29
1765,117.65,55.33
1766,117.66,55.38
1767,117.67,55.42
1768,117.68,55.47
1769,117.69,55.51
1770,117.70,55.56
1771,117.71,55.61
1772,117.72,55.65
1773,117.73,55.70
1774,117.74,55.74
1775,117.75,55.79
1776,117.76,55.83
1777,117.77,55.88
1778,117.78,55.93
1779,117.79,55.97
1780,117.80,56.02
1781,117.81,56.06
1782,117.82,56.11
1783,117.83,56.15
1784,117.84,56.20
1785,117.85,56.25
1786,117.86,56.29
1787,117.87,56.34
1788,117.88,56.38
1789,117.89,56.43
1790,117.90,56.47
1791,117.91,56.52
1792,117.92,56.57
1793,117.93,56.61
1794,117.94,56.66
1795,117.95,56.70
1796,117.96,56.75
1797,117.97,56.79
1798,117.98,56.84
1799,117.99,56.89
1800,118.00,56.93
1801,118.01,56.98
1802,118.02,57.02
1803,118.03,57.07
1804,118.04,57.11
1805,118.05,57.16
1806,118.06,57.21
1807,118.07,57.25
1808,118.08,57.30
1809,118.09,57.34
1810,118.10,57.39
1811,118.11,57.44
1812,118.12,57.48
1813,118.13,57.53
1814,118.14,57.57
1815,118.15,57.62
1816,118.16,57.66
1817,118.17,57.71
1818,118.18,57.76
1819,118.19,57.80
1820,118.20,57.85
1821,118.21,57.89
1822,118.22,57.94
1823,118.23,57.98
1824,118.24,58.03
1825,118.25,58.08
1826,118.26,58.12
1827,118.27,58.17
1828,118.28,58.21
1829,118.29,58.26
1830,118.30,58.30
1831,118.31,58.35
1832,118.32,58.40
1833,118.33,58.44
1834,118.34,58.49
1835,118.35,58.53
1836,118.36,58.58
1837,118.37,58.62
1838,118.38,58.67
1839,118.39,58.72
1840,118.40,58.76
1841,118.41,58.81
1842,118.42,58.85
1843,118.43,58.90
1844,118.44,58.94
1845,118.45,58.99
1846,118.46,59.04
1847,118.47,59.08
1848,118.48,59.13
1849,118.49,59.17
1850,118.50,59.22
1851,118.51,59.26
1852,118.52,59.31
1853,118.53,59.36
1854,118.54,59.40
1855,118.55,59.45
1856,118.56,59.49
1857,118.57,59.54
1858,118.58,59.58
1859,118.59,59.63
1860,118.60,59.68
1861,118.61,59.72
1862,118.62,59.77
1863,118.63,59.81
1864,118.64,59.86
1865,118.65,59.91
1866,118.66,59.95
1867,118.67,60.00
1868,118.68,60.04
1869,118.69,60.09
1870,118.70,60.13
1871,118.71,60.18
1872,118.72,60.23
1873,118.73,60.27
1874,118.74,60.32
1875,118.75,60.36
1876,118.76,60.41
1877,118.77,60.45
1878,118.78,60.50
1879,118.79,60.55
1880,118.80,60.59
1881,118.81,60.64
1882,118.82,60.68
1883,118.83,60.73
1884,118.84,60.77
1885,118.85,60.82
1886,118.86,60.87
1887,118.87,60.91
1888,118.88,60.96
1889,118.89,61.00
1890,118.90,61.05
1891,118.91,61.09
1892,118.92,61.14
1893,118.93,61.19
1894,118.94,61.23
1895,118.95,61.28
1896,118.96,61.32
1897,118.97,61.37
1898,118.98,61.41
1899,118.99,61.46
1900,119.00,61.51
1901,119.01,61.55
1902,119.02,61.60
1903,119.03,61.64
1904,119.04,61.69
1905,119.05,61.73
1906,119.06,61.78
1907,119.07,61.83
1908,119.08,61.87
1909,119.09,61.92
1910,119.10,61.96
1911,119.11,62.01
1912,119.12,62.05
1913,119.13,62.10
1914,119.14,62.15
1915,119.15,62.19
1916,119.16,62.24
1917,119.17,62.28
1918,119.18,62.33
1919,119.19,62.38
1920,119.20,62.42
1921,119.21,62.47
1922,119.22,62.51
1923,119.23,62.56
1924,119.24,62.60
1925,119.25,62.65
1926,119.26,62.70
1927,119.27,62.74
1928,119.28,62.79
1929,119.29,62.83
1930,119.30,62.88
1931,119.31,62.92
1932,119.32,62.97
1933,119.33,63.02
1934,119.34,63.06
1935,119.35,63.11
1936,119.36,63.15
1937,119.37,63.20
1938,119.38,63.24
1939,119.39,63.29
1940,119.40,63.34
1941,119.41,63.38
1942,119.42,63.43
1943,119.43,63.47
1944,119.44,63.52
1945,119.45,63.56
1946,119.46,63.61
1947,119.47,63.66
1948,119.48,63.70
1949,119.49,63.75
1950,119.50,63.79
1951,119.51,63.84
1952,119.52,63.88
1953,119.53,63.93
1954,119.54,63.98
1955,119.55,64.02
1956,119.56,64.07
1957,119.57,64.11
1958,119.58,64.16
1959,119.59,64.20
1960,119.60,64.25
1961,119.61,64.30
1962,119.62,64.34
1963,119.63,64.39
1964,119.64,64.43
1965,119.65,64.48
1966,119.66,64.52
1967,119.67,64.57
1968,119.68,64.62
1969,119.69,64.66
1970,119.70,64.71
1971,119.71,64.75
1972,119.72,64.80
1973,119.73,64.85
1974,119.74,64.89
1975,119.75,64.94
1976,119.76,64.98
1977,119.77,65.03
1978,119.78,65.07
1979,119.79,65.12
1980,119.80,65.17
1981,119.81,65.21
1982,119.82,65.26
1983,119.83,65.30
1984,119.84,65.35
1985,119.85,65.39
1986,119.86,65.44
1987,119.87,65.49
1988,119.88,65.53
1989,119.89,65.58
1990,119.90,65.62
1991,119.91,65.67
1992,119.92,65.71
1993,119.93,65.76
1994,119.94,65.81
1995,119.95,65.85
1996,119.96,65.90
1997,119.97,65.94
1998,119.98,65.99
1999,119.99,66.03
2000,120.00,66.08
2001,120.01,66.14
2002,120.02,66.19
2003,120.03,66.25
2004,120.04,66.30
2005,120.05,66.36
2006,120.06,66.41
2007,120.07,66.47
2008,120.08,66.52
2009,120.09,66.58
2010,120.10,66.63
2011,120.11,66.69
2012,120.12,66.74
2013,120.13,66.80
2014,120.14,66.85
2015,120.15,66.91
2016,120.16,66.96
2017,120.17,67.02
2018,120.18,67.07
2019,120.19,67.13
2020,120.20,67.18
2021,120.21,67.24
2022,120.22,67.29
2023,120.23,67.35
2024,120.24,67.40
2025,120.25,67.46
2026,120.26,67.51
2027,120.27,67.57
2028,120.28,67.62
2029,120.29,67.68
2030,120.30,67.73
2031,120.31,67.79
2032,120.32,67.84
2033,120.33,67.90
2034,120.34,67.95
2035,120.35,68.01
2036,120.36,68.06
2037,120.37,68.12
2038,120.38,68.17
2039,120.39,68.23
2040,120.40,68.28
2041,120.41,68.34
2042,120.42,68.40
2043,120.43,68.45
2044,120.44,68.51
2045,120.45,68.56
2046,120.46,68.62
2047,120.47,68.67
2048,120.48,68.73
2049,120.49,68.78
2050,120.50,68.84
2051,120.51,68.89
2052,120.52,68.95
2053,120.53,69.00
2054,120.54,69.06
2055,120.55,69.11
2056,120.56,69.17
2057,120.57,69.22
2058,120.58,69.28
2059,120.59,69.33
2060,120.60,69.39
2061,120.61,69.44
2062,120.62,69.50
2063,120.63,69.55
2064,120.64,69.61
2065,120.65,69.66
2066,120.66,69.72
2067,120.67,69.77
2068,120.68,69.83
2069,120.69,69.88
2070,120.70,69.94
2071,120.71,69.99
2072,120.72,70.05
2073,120.73,70.10
2074,120.74,70.16
2075,120.75,70.21
2076,120.76,70.27
2077,120.77,70.32
2078,120.78,70.38
2079,120.79,70.43
2080,120.80,70.49
2081,120.81,70.54
2082,120.82,70.60
2083,120.83,70.65
2084,120.84,70.71
2085,120.85,70.77
2086,120.86,70.82
2087,120.87,70.88
2088,120.88,70.93
2089,120.89,70.99
2090,120.90,71.04
2091,120.91,71.10
2092,120.92,71.15
2093,120.93,71.21
2094,120.94,71.26
2095,120.95,71.32
2096,120.96,71.37
2097,120.97,71.43
2098,120.98,71.48
2099,120.99,71.54
2100,121.00,71.59
2101,121.01,71.65
2102,121.02,71.70
2103,121.03,71.76
2104,121.04,71.81
2105,121.05,71.87
2106,121.06,71.92
2107,121.07,71.98
2108,121.08,72.03
2109,121.09,72.09
2110,121.10,72.14
2111,121.11,72.20
2112,121.12,72.25
2113,121.13,72.31
2114,121.14,72.36
2115,121.15,72.42
2116,121.16,72.47
2117,121.17,72.53
2118,121.18,72.58
2119,121.19,72.64
2120,121.20,72.69
2121,121.21,72.75
2122,121.22,72.80
2123,121.23,72.86
2124,121.24,72.91
2125,121.25,72.97
2126,121.26,73.03
2127,121.27,73.08
2128,121.28,73.14
2129,121.29,73.19
2130,121.30,73.25
2131,121.31,73.30
2132,121.32,73.36
2133,121.33,73.41
2134,121.34,73.47
2135,121.35,73.52
2136,121.36,73.58
2137,121.37,73.63
2138,121.38,73.69
2139,121.39,73.74
2140,121.40,73.80
2141,121.41,73.85
2142,121.42,73.91
2143,121.43,73.96
2144,121.44,74.02
2145,121.45,74.07
2146,121.46,74.13
2147,121.47,74.18
2148,121.48,74.24
2149,121.49,74.29
2150,121.50,74.35
2151,121.51,74.40
2152,121.52,74.46
2153,121.53,74.51
2154,121.54,74.57
2155,121.55,74.62
2156,121.56,74.68
2157,121.57,74.73
2158,121.58,74.79
2159,121.59,74.84
2160,121.60,74.90
2161,121.61,74.95
2162,121.62,75.01
2163,121.63,75.06
2164,121.64,75.12
2165,121.65,75.17
2166,121.66,75.23
2167,121.67,75.29
2168,121.68,75.34
2169,121.69,75.40
2170,121.70,75.45
2171,121.71,75.51
2172,121.72,75.56
2173,121.73,75.62
2174,121.74,75.67
2175,121.75,75.73
2176,121.76,75.78
2177,121.77,75.84
2178,121.78,75.89
2179,121.79,75.95
2180,121.80,76.00
2181,121.81,76.06
2182,121.82,76.11
2183,121.83,76.17
2184,121.84,76.22
2185,121.85,76.28
2186,121.86,76.33
2187,121.87,76.39
2188,121.88,76.44
2189,121.89,76.50
2190,121.90,76.55
2191,121.91,76.61
2192,121.92,76.66
2193,121.93,76.72
2194,121.94,76.77
2195,121.95,76.83
2196,121.96,76.88
2197,121.97,76.94
2198,121.98,76.99
2199,121.99,77.05
2200,122.00,77.10
2201,122.01,77.16
2202,122.02,77.21
2203,122.03,77.27
2204,122.04,77.32
2205,122.05,77.38
2206,122.06,77.43
2207,122.07,77.49
2208,122.08,77.54
2209,122.09,77.60
2210,122.10,77.66
2211,122.11,77.71
2212,122.12,77.77
2213,122.13,77.82
2214,122.14,77.88
2215,122.15,77.93
2216,122.16,77.99
2217,122.17,78.04
2218,122.18,78.10
2219,122.19,78.15
2220,122.20,78.21
2221,122.21,78.26
2222,122.22,78.32
2223,122.23,78.37
2224,122.24,78.43
2225,122.25,78.48
2226,122.26,78.54
2227,122.27,78.59
2228,122.28,78.65
2229,122.29,78.70
2230,122.30,78.76
2231,122.31,78.81
2232,122.32,78.87
2233,122.33,78.92
2234,122.34,78.98
2235,122.35,79.03
2236,122.36,79.09
2237,122.37,79.14
2238,122.38,79.20
2239,122.39,79.25
2240,122.40,79.31
2241,122.41,79.36
2242,122.42,79.42
2243,122.43,79.47
2244,122.44,79.53
2245,122.45,79.58
2246,122.46,79.64
2247,122.47,79.69
2248,122.48,79.75
2249,122.49,79.80
2250,122.50,79.86
2251,122.51,79.92
2252,122.52,79.97
2253,122.53,80.03
2254,122.54,80.08
2255,122.55,80.14
2256,122.56,80.19
2257,122.57,80.25
2258,122.58,80.30
2259,122.59,80.36
2260,122.60,80.41
2261,122.61,80.47
2262,122.62,80.52
2263,122.63,80.58
2264,122.64,80.63
2265,122.65,80.69
2266,122.66,80.74
2267,122.67,80.80
2268,122.68,80.85
2269,122.69,80.91
2270,122.70,80.96
2271,122.71,81.02
2272,122.72,81.07
2273,122.73,81.13
2274,122.74,81.18
2275,122.75,81.24
2276,122.76,81.29
2277,122.77,81.35
2278,122.78,81.40
2279,122.79,81.46
2280,122.80,81.51
2281,122.81,81.57
2282,122.82,81.62
2283,122.83,81.68
2284,122.84,81.73
2285,122.85,81.79
2286,122.86,81.84
2287,122.87,81.90
2288,122.88,81.95
2289,122.89,82.01
2290,122.90,82.06
2291,122.91,82.12
2292,122.92,82.18
2293,122.93,82.23
2294,122.94,82.29
2295,122.95,82.34
2296,122.96,82.40
2297,122.97,82.45
2298,122.98,82.51
2299,122.99,82.56
2300,123.00,82.62
2301,123.01,82.67
2302,123.02,82.73
2303,123.03,82.78
2304,123.04,82.84
2305,123.05,82.89
2306,123.06,82.95
2307,123.07,83.00
2308,123.08,83.06
2309,123.09,83.11
2310,123.10,83.17
2311,123.11,83.22
2312,123.12,83.28
2313,123.13,83.33
2314,123.14,83.39
2315,123.15,83.44
2316,123.16,83.50
2317,123.17,83.55
2318,123.18,83.61
2319,123.19,83.66
2320,123.20,83.72
2321,123.21,83.77
2322,123.22,83.83
2323,123.23,83.88
2324,123.24,83.94
2325,123.25,83.99
2326,123.26,84.05
2327,123.27,84.10
2328,123.28,84.16
2329,123.29,84.21
2330,123.30,84.27
2331,123.31,84.32
2332,123.32,84.38
2333,123.33,84.43
2334,123.34,84.49
2335,123.35,84.55
2336,123.36,84.60
2337,123.37,84.66
2338,123.38,84.71
2339,123.39,84.77
2340,123.40,84.82
2341,123.41,84.88
2342,123.42,84.93
2343,123.43,84.99
2344,123.44,85.04
2345,123.45,85.10
2346,123.46,85.15
2347,123.47,85.21
2348,123.48,85.26
2349,123.49,85.32
2350,123.50,85.37
2351,123.51,85.43
2352,123.52,85.48
2353,123.53,85.54
2354,123.54,85.59
2355,123.55,85.65
2356,123.56,85.70
2357,123.57,85.76
2358,123.58,85.81
2359,123.59,85.87
2360,123.60,85.92
2361,123.61,85.98
2362,123.62,86.03
2363,123.63,86.09
2364,123.64,86.14
2365,123.65,86.20
2366,123.66,86.25
2367,123.67,86.31
2368,123.68,86.36
2369,123.69,86.42
2370,123.70,86.47
2371,123.71,86.53
2372,123.72,86.58
2373,123.73,86.64
2374,123.74,86.69
2375,123.75,86.75
2376,123.76,86.81
2377,123.77,86.86
2378,123.78,86.92
2379,123.79,86.97
2380,123.80,87.03
2381,123.81,87.08
2382,123.82,87.14
2383,123.83,87.19
2384,123.84,87.25
2385,123.85,87.30
2386,123.86,87.36
2387,123.87,87.41
2388,123.88,87.47
2389,123.89,87.52
2390,123.90,87.58
2391,123.91,87.63
2392,123.92,87.69
2393,123.93,87.74
2394,123.94,87.80
2395,123.95,87.85
2396,123.96,87.91
2397,123.97,87.96
2398,123.98,88.02
2399,123.99,88.07
2400,124.00,88.13
2401,124.01,88.18
2402,124.02,88.24
2403,124.03,88.29
2404,124.04,88.35
2405,124.05,88.40
2406,124.06,88.46
2407,124.07,88.51
2408,124.08,88.57
2409,124.09,88.62
2410,124.10,88.68
2411,124.11,88.73
2412,124.12,88.79
2413,124.13,88.84
2414,124.14,88.90
2415,124.15,88.95
2416,124.16,89.01
2417,124.17,89.07
2418,124.18,89.12
2419,124.19,89.18
2420,124.20,89.23
2421,124.21,89.29
2422,124.22,89.34
2423,124.23,89.40
2424,124.24,89.45
2425,124.25,89.51
2426,124.26,89.56
2427,124.27,89.62
2428,124.28,89.67
2429,124.29,89.73
2430,124.30,89.78
2431,124.31,89.84
2432,124.32,89.89
2433,124.33,89.95
2434,124.34,90.00
2435,124.35,90.06
2436,124.36,90.11
2437,124.37,90.17
2438,124.38,90.22
2439,124.39,90.28
2440,124.40,90.33
2441,124.41,90.39
2442,124.42,90.44
2443,124.43,90.50
2444,124.44,90.55
2445,124.45,90.61
2446,124.46,90.66
2447,124.47,90.72
2448,124.48,90.77
2449,124.49,90.83
2450,124.50,90.88
2451,124.51,90.94
2452,124.52,90.99
2453,124.53,91.05
2454,124.54,91.10
2455,124.55,91.16
2456,124.56,91.21
2457,124.57,91.27
2458,124.58,91.32
2459,124.59,91.38
2460,124.60,91.44
2461,124.61,91.49
2462,124.62,91.55
2463,124.63,91.60
2464,124.64,91.66
2465,124.65,91.71
2466,124.66,91.77
2467,124.67,91.82
2468,124.68,91.88
2469,124.69,91.93
2470,124.70,91.99
2471,124.71,92.04
2472,124.72,92.10
2473,124.73,92.15
2474,124.74,92.21
2475,124.75,92.26
2476,124.76,92.32
2477,124.77,92.37
2478,124.78,92.43
2479,124.79,92.48
2480,124.80,92.54
2481,124.81,92.59
2482,124.82,92.65
2483,124.83,92.70
2484,124.84,92.76
2485,124.85,92.81
2486,124.86,92.87
2487,124.87,92.92
2488,124.88,92.98
2489,124.89,93.03
2490,124.90,93.09
2491,124.91,93.14
2492,124.92,93.20
2493,124.93,93.25
2494,124.94,93.31
2495,124.95,93.36
2496,124.96,93.42
2497,124.97,93.47
2498,124.98,93.53
2499,124.99,93.58
2500,125.00,93.64
2501,125.01,93.71
2502,125.02,93.77
2503,125.03,93.84
2504,125.04,93.90
2505,125.05,93.97
2506,125.06,94.03
2507,125.07,94.10
2508,125.08,94.16
2509,125.09,94.23
2510,125.10,94.29
2511,125.11,94.36
2512,125.12,94.43
2513,125.13,94.49
2514,125.14,94.56
2515,125.15,94.62
2516,125.16,94.69
2517,125.17,94.75
2518,125.18,94.82
2519,125.19,94.88
2520,125.20,94.95
2521,125.21,95.02
2522,125.22,95.08
2523,125.23,95.15
2524,125.24,95.21
2525,125.25,95.28
2526,125.26,95.34
2527,125.27,95.41
2528,125.28,95.47
2529,125.29,95.54
2530,125.30,95.60
2531,125.31,95.67
2532,125.32,95.74
2533,125.33,95.80
2534,125.34,95.87
2535,125.35,95.93
2536,125.36,96.00
2537,125.37,96.06
2538,125.38,96.13
2539,125.39,96.19
2540,125.40,96.26
2541,125.41,96.32
2542,125.42,96.39
2543,125.43,96.46
2544,125.44,96.52
2545,125.45,96.59
2546,125.46,96.65
2547,125.47,96.72
2548,125.48,96.78
2549,125.49,96.85
2550,125.50,96.91
2551,125.51,96.98
2552,125.52,97.04
2553,125.53,97.11
2554,125.54,97.18
2555,125.55,97.24
2556,125.56,97.31
2557,125.57,97.37
2558,125.58,97.44
2559,125.59,97.50
2560,125.60,97.57
2561,125.61,97.63
2562,125.62,97.70
2563,125.63,97.77
2564,125.64,97.83
2565,125.65,97.90
2566,125.66,97.96
2567,125.67,98.03
2568,125.68,98.09
2569,125.69,98.16
2570,125.70,98.22
2571,125.71,98.29
2572,125.72,98.35
2573,125.73,98.42
2574,125.74,98.49
2575,125.75,98.55
2576,125.76,98.62
2577,125.77,98.68
2578,125.78,98.75
2579,125.79,98.81
2580,125.80,98.88
2581,125.81,98.94
2582,125.82,99.01
2583,125.83,99.07
2584,125.84,99.14
2585,125.85,99.21
2586,125.86,99.27
2587,125.87,99.34
2588,125.88,99.40
2589,125.89,99.47
2590,125.90,99.53
2591,125.91,99.60
2592,125.92,99.66
2593,125.93,99.73
2594,125.94,99.80
2595,125.95,99.86
2596,125.96,99.93
2597,125.97,99.99
2598,125.98,100.06
2599,125.99,100.12
2600,126.00,100.19
2601,126.01,100.25
2602,126.02,100.32
2603,126.03,100.38
2604,126.04,100.45
2605,126.05,100.52
2606,126.06,100.58
2607,126.07,100.65
2608,126.08,100.71
2609,126.09,100.78
2610,126.10,100.84
2611,126.11,100.91
2612,126.12,100.97
2613,126.13,101.04
2614,126.14,101.10
2615,126.15,101.17
2616,126.16,101.24
2617,126.17,101.30
2618,126.18,101.37
2619,126.19,101.43
2620,126.20,101.50
2621,126.21,101.56
2622,126.22,101.63
2623,126.23,101.69
2624,126.24,101.76
2625,126.25,101.83
2626,126.26,101.89
2627,126.27,101.96
2628,126.28,102.02
2629,126.29,102.09
2630,126.30,102.15
