stt,H,W
319,103.19,9.56
320,103.20,9.57
321,103.21,9.59
322,103.22,9.60
323,103.23,9.62
324,103.24,9.63
325,103.25,9.65
326,103.26,9.66
327,103.27,9.68
328,103.28,9.69
329,103.29,9.71
330,103.30,9.72
331,103.31,9.74
332,103.32,9.75
333,103.33,9.77
334,103.34,9.78
335,103.35,9.80
336,103.36,9.81
337,103.37,9.83
338,103.38,9.84
339,103.39,9.86
340,103.40,9.87
341,103.41,9.89
342,103.42,9.90
343,103.43,9.92
344,103.44,9.93
345,103.45,9.95
346,103.46,9.96
347,103.47,9.98
348,103.48,9.99
349,103.49,10.01
350,103.50,10.02
351,103.51,10.04
352,103.52,10.05
353,103.53,10.07
354,103.54,10.08
355,103.55,10.10
356,103.56,10.11
357,103.57,10.13
358,103.58,10.14
359,103.59,10.16
360,103.60,10.17
361,103.61,10.19
362,103.62,10.20
363,103.63,10.22
364,103.64,10.23
365,103.65,10.25
366,103.66,10.26
367,103.67,10.28
368,103.68,10.29
369,103.69,10.31
370,103.70,10.32
371,103.71,10.34
372,103.72,10.35
373,103.73,10.37
374,103.74,10.38
375,103.75,10.40
376,103.76,10.41
377,103.77,10.42
378,103.78,10.44
379,103.79,10.45
380,103.80,10.47
381,103.81,10.48
382,103.82,10.50
383,103.83,10.51
384,103.84,10.53
385,103.85,10.54
386,103.86,10.56
387,103.87,10.57
388,103.88,10.59
389,103.89,10.60
390,103.90,10.62
391,103.91,10.63
392,103.92,10.65
393,103.93,10.66
394,103.94,10.68
395,103.95,10.69
396,103.96,10.71
397,103.97,10.72
398,103.98,10.74
399,103.99,10.75
400,104.00,10.77
401,104.01,10.78
402,104.02,10.80
403,104.03,10.81
404,104.04,10.83
405,104.05,10.84
406,104.06,10.86
407,104.07,10.87
408,104.08,10.89
409,104.09,10.90
410,104.10,10.92
411,104.11,10.93
412,104.12,10.95
413,104.13,10.96
414,104.14,10.98
415,104.15,10.99
416,104.16,11.01
417,104.17,11.02
418,104.18,11.04
419,104.19,11.05
420,104.20,11.07
421,104.21,11.08
422,104.22,11.10
423,104.23,11.11
424,104.24,11.13
425,104.25,11.14
426,104.26,11.16
427,104.27,11.17
428,104.28,11.19
429,104.29,11.20
430,104.30,11.22
431,104.31,11.23
432,104.32,11.25
433,104.33,11.26
434,104.34,11.28
435,104.35,11.29
436,104.36,11.31
437,104.37,11.32
438,104.38,11.33
439,104.39,11.35
440,104.40,11.36
441,104.41,11.38
442,104.42,11.39
443,104.43,11.41
444,104.44,11.42
445,104.45,11.44
446,104.46,11.45
447,104.47,11.47
448,104.48,11.48
449,104.49,11.50
450,104.50,11.51
451,104.51,11.53
452,104.52,11.54
453,104.53,11.56
454,104.54,11.57
455,104.55,11.59
456,104.56,11.60
457,104.57,11.62
458,104.58,11.63
459,104.59,11.65
460,104.60,11.66
461,104.61,11.68
462,104.62,11.69
463,104.63,11.71
464,104.64,11.72
465,104.65,11.74
466,104.66,11.75
467,104.67,11.77
468,104.68,11.78
469,104.69,11.80
470,104.70,11.81
471,104.71,11.83
472,104.72,11.84
473,104.73,11.86
474,104.74,11.87
475,104.75,11.89
476,104.76,11.90
477,104.77,11.92
478,104.78,11.93
479,104.79,11.95
480,104.80,11.96
481,104.81,11.98
482,104.82,11.99
483,104.83,12.01
484,104.84,12.02
485,104.85,12.04
486,104.86,12.05
487,104.87,12.07
488,104.88,12.08
489,104.89,12.10
490,104.90,12.11
491,104.91,12.13
492,104.92,12.14
493,104.93,12.16
494,104.94,12.17
495,104.95,12.19
496,104.96,12.20
497,104.97,12.22
498,104.98,12.23
499,104.99,12.25
500,105.00,12.26
501,105.01,12.29
502,105.02,12.31
503,105.03,12.34
504,105.04,12.36
505,105.05,12.39
506,105.06,12.41
507,105.07,12.44
508,105.08,12.46
509,105.09,12.49
510,105.10,12.51
511,105.11,12.54
512,105.12,12.57
513,105.13,12.59
514,105.14,12.62
515,105.15,12.64
516,105.16,12.67
517,105.17,12.69
518,105.18,12.72
519,105.19,12.74
520,105.20,12.77
521,105.21,12.79
522,105.22,12.82
523,105.23,12.85
524,105.24,12.87
525,105.25,12.90
526,105.26,12.92
527,105.27,12.95
528,105.28,12.97
529,105.29,13.00
530,105.30,13.02
531,105.31,13.05
532,105.32,13.07
533,105.33,13.10
534,105.34,13.13
535,105.35,13.15
536,105.36,13.18
537,105.37,13.20
538,105.38,13.23
539,105.39,13.25
540,105.40,13.28
541,105.41,13.30
542,105.42,13.33
543,105.43,13.35
544,105.44,13.38
545,105.45,13.41
546,105.46,13.43
547,105.47,13.46
548,105.48,13.48
549,105.49,13.51
550,105.50,13.53
551,105.51,13.56
552,105.52,13.58
553,105.53,13.61
554,105.54,13.63
